        P1  T1  Q1  S1  T2  T3  Q2  S2  T4  S3  T5  T6  T7  Sum
    P1   0   1   1   0   0   0   0   0   0   0   0   0   0   2
    T1   0   0   0   0   0   0   0   0   0   0   0   0   0   0
    Q1   0   0   0   1   0   0   1   0   0   0   0   0   0   2
    S1   0   0   0   0   1   1   0   0   0   0   0   0   0   2
    T2   0   0   0   0   0   0   0   0   0   0   0   0   0   0
    T3   0   0   0   0   0   0   0   0   0   0   0   0   0   0
    Q2   0   0   0   0   0   0   0   1   0   0   0   0   1   2
    S2   0   0   0   0   0   0   0   0   1   1   0   0   0   2
    T4   0   0   0   0   0   0   0   0   0   0   0   0   0   0
    S3   0   0   0   0   0   0   0   0   0   0   1   1   0   2
    T5   0   0   0   0   0   0   0   0   0   0   0   0   0   0
    T6   0   0   0   0   0   0   0   0   0   0   0   0   0   0
    T7   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   Sum   0   1   1   1   1   1   1   1   1   1   1   1   1  12
