        P1  Q1  Q2  S1  S2  S3  T1  T2  T3  T4  T5  T6  T7  Sum
    P1   0   0   0   0   0   0   0   0   0   0   0   0   0   0
    Q1   1   0   0   0   0   0   0   0   0   0   0   0   0   1
    Q2   0   1   0   0   0   0   0   0   0   0   0   0   0   1
    S1   0   1   0   0   0   0   0   0   0   0   0   0   0   1
    S2   0   0   1   0   0   0   0   0   0   0   0   0   0   1
    S3   0   0   0   0   1   0   0   0   0   0   0   0   0   1
    T1   1   0   0   0   0   0   0   0   0   0   0   0   0   1
    T2   0   0   0   1   0   0   0   0   0   0   0   0   0   1
    T3   0   0   0   1   0   0   0   0   0   0   0   0   0   1
    T4   0   0   0   0   1   0   0   0   0   0   0   0   0   1
    T5   0   0   0   0   0   1   0   0   0   0   0   0   0   1
    T6   0   0   0   0   0   1   0   0   0   0   0   0   0   1
    T7   0   0   1   0   0   0   0   0   0   0   0   0   0   1
   Sum   2   2   2   2   2   2   0   0   0   0   0   0   0  12
